"PID","Sale_Price"
908276150,83588.0409615104
903451090,145668.312803317
527110080,180626.874762602
535457010,140314.726890707
903484020,134968.166220822
905479110,118750.926938064
527452310,125445.798677118
528228445,190634.104493193
923225370,103394.717692095
528344040,331742.186689608
532377050,139220.62705823
535176050,147472.576758988
906340100,348678.052988966
533212050,157422.231649372
909428180,182791.448898688
535379110,134115.941340038
534250400,196147.346230183
527450520,110406.179706949
527452150,133150.976887564
903225040,125416.774217264
911370410,288614.844747293
905226080,170458.929883151
914467050,213594.273208721
908152260,145742.592006955
534451170,73478.2157340389
923228310,82695.7243307159
910201180,142388.862782141
534476100,133124.312133819
923225080,121540.202382079
906223210,239130.078642606
905480150,92132.6029264998
903452090,117544.731381587
527208010,369289.764208811
906426090,170170.961425823
903231090,137462.486640834
535152280,142279.447138642
528458180,219163.364987156
532354060,121990.296290079
909279040,105915.719975339
527353060,255057.386027169
916176030,156411.94125617
533110130,285287.067457475
911370450,270649.42070689
528118110,325893.661243694
528228270,199594.602865703
905480240,96863.9174232825
914460020,185803.546485752
534428060,137121.954814224
534252240,163537.837037871
908102050,106146.499158364
914475030,180516.040020171
533221040,168957.960514812
535451170,93640.4799797528
905451340,93361.9679189
528118040,393541.376628841
903200080,197455.677190037
527162110,194858.690438649
535381040,157182.825760532
528174020,193859.488852567
534400290,164936.76095373
903206070,134544.569627366
533252130,206063.182306579
906382030,233229.035207917
535327200,129269.761839125
535455080,116447.482155691
527354160,192689.970107874
902207120,80035.7384191349
909282060,204837.722239903
902109140,124232.742432725
902206270,133716.406905009
533250050,253718.845047444
909452050,218972.877299561
527212060,370447.10293943
906394060,187464.204073752
534401120,168309.514938597
528435010,219456.448367458
528315080,290362.811977979
909275030,154846.747258879
528102010,377059.780482309
907200290,153093.749800618
902300260,135483.083766058
528150110,338544.324691476
535450100,131641.581164781
907285010,237589.322324385
533253210,187940.204084032
527301280,146166.650548744
905478140,138790.585826952
902204080,87477.5796779359
907201280,135502.822922376
905476170,89448.0379994605
923228210,81456.0983187334
534226120,124485.067335639
527301170,221300.5246506
535453040,127005.93704785
535150300,230000.754679015
528363020,323233.242165624
907265100,215857.417633702
910200060,140411.814017518
532376160,136287.863341599
908204180,75795.0738296568
909282130,141182.371968676
528326110,332230.966294193
534176230,158440.571616899
527302210,222718.494359504
526355170,287383.017979552
535305180,138576.182621857
905452150,140835.035459916
902201090,131307.876991588
527452190,140543.797413336
908275280,143716.622171246
527402210,131446.674639265
921126010,309326.36832248
905109130,290088.213478855
535425070,192037.596296001
905200290,162833.641021784
533253060,153725.096865781
535179050,139174.47537709
903476100,90995.6483499737
533135020,255273.277876414
527403120,97722.9947050831
528429080,272798.13807486
528354100,281117.439125653
902427150,108754.155499698
527226040,170119.292628338
924100060,176411.441697043
531452180,208725.54421667
907252050,202901.305632617
903236200,109043.236704724
910201130,126415.827194035
909100080,109871.950927872
535402010,183552.033331606
528186100,334259.242500513
905225020,166852.294578083
905201110,176944.992762266
527158090,174670.382503905
528175010,212302.013866991
902401010,121475.696145744
534251320,155367.410016436
902109120,127143.253499192
528290170,192316.458492205
534252060,143557.189402814
905475510,107267.064552248
527425060,111728.126157107
534201130,131254.040203938
526302110,119958.28329809
903430050,81803.6268960643
902110130,93574.9498892967
534401110,145728.641305455
528231020,185349.811263761
531479020,88281.2107530789
905403060,124365.127364894
916326010,234420.019587662
527365030,237665.126145567
528228295,219437.129252042
527455250,124273.043937628
916403040,186682.202118329
527252090,314570.716555716
908225240,106984.390095333
528228285,166386.378667396
