"PID","Sale_Price"
908276150,86090.6696977953
903451090,140149.877409704
527110080,181948.125042759
535457010,143666.902750856
903484020,129072.59828269
905479110,118036.489001496
527452310,137806.363070226
528228445,186798.881843169
923225370,100158.212529834
528344040,335287.61276573
532377050,136514.007907655
535176050,140002.797909892
906340100,327758.466732848
533212050,152560.434116372
909428180,177594.535223389
535379110,141759.598250578
534250400,190936.574075936
527450520,102556.96461584
527452150,137835.279029126
903225040,124173.370014044
911370410,294815.988881214
905226080,165753.835567966
914467050,219915.086504689
908152260,149985.650717056
534451170,75569.2891964896
923228310,82029.8438500581
910201180,149265.617555101
534476100,133830.058971354
923225080,128560.564053998
906223210,243480.925632245
905480150,86524.9338823242
903452090,121717.883082097
527208010,344542.69573243
906426090,171578.370174347
903231090,128894.482307627
535152280,141316.051086387
528458180,230855.310663756
532354060,121515.956842118
909279040,108863.785663722
527353060,260527.265069333
916176030,158611.428858383
533110130,292349.359714143
911370450,248624.118740896
528118110,316719.701101755
528228270,190680.907113859
905480240,102611.554855919
914460020,182220.232982872
534428060,137876.823477851
534252240,160073.280647052
908102050,120532.717992931
914475030,170583.938963637
533221040,171504.588964313
535451170,100077.913832723
905451340,98789.5122701556
528118040,466862.514808496
903200080,196731.70504213
527162110,195675.447305403
535381040,156352.959612852
528174020,186433.329552693
534400290,165538.834814044
903206070,138550.90365634
533252130,184564.339031196
906382030,228332.286375093
535327200,134834.944865489
535455080,112577.081243631
527354160,188771.314989012
902207120,88336.7281327621
909282060,213920.40781112
902109140,123707.430984966
902206270,130752.955670557
533250050,254596.541008262
909452050,223417.233110252
527212060,364577.256206168
906394060,194944.555552006
534401120,166371.952640425
528435010,209412.220753151
528315080,283483.91399735
909275030,161031.469448648
528102010,383120.504091449
907200290,153207.208044863
902300260,127351.151417423
528150110,371101.595999668
535450100,131184.990417634
907285010,223073.181574016
533253210,193765.169227598
527301280,154788.476545716
905478140,134002.726415429
902204080,90236.6174660425
907201280,141134.633135124
905476170,98109.6658484276
923228210,84871.0561503299
534226120,133209.051341364
527301170,224498.173104177
535453040,140190.114043409
535150300,260677.128427172
528363020,323231.121992599
907265100,224272.199272439
910200060,137700.871289764
532376160,130478.663766772
908204180,75369.8510469376
909282130,143904.128174025
528326110,307417.931120312
534176230,167417.652011837
527302210,229816.295369814
526355170,277629.650500906
535305180,136255.045742466
905452150,136255.175685465
902201090,129687.060505078
527452190,137330.124603574
908275280,148876.36951929
527402210,140027.63428811
921126010,321675.404624692
905109130,282727.940062546
535425070,183539.272876371
905200290,159053.430898567
533253060,160256.422008115
535179050,145007.749559132
903476100,91662.0081026859
533135020,239078.729130046
527403120,102788.830802408
528429080,275310.489585441
528354100,261100.840053702
902427150,109875.517819114
527226040,159965.235421543
924100060,168030.115043992
531452180,204625.77513094
907252050,216644.621956337
903236200,119052.034455919
910201130,115871.524896983
909100080,120812.252653058
535402010,195819.003527936
528186100,338688.070238644
905225020,189871.770802451
