"","x"
"4_10",-2.12401278854346
"4_out_of_10",-1.75164408600459
"3_out_of_10",-1.69490183606594
"3_10",-1.61490495028184
"1_2_from",-1.6021186585423
"grade_d",-1.35542733728313
"not_recommend",-1.2656985951541
"2_10",-1.25880035161606
"waste",-1.24023804653976
"wanted_to_like",-1.1356753509748
"had_high",-1.02265593416997
"worst",-0.996893787500667
"not_worth",-0.963718989138708
"disappointment",-0.94498450855092
"awful",-0.935710595093294
"below_average",-0.902762349692033
"skip_this",-0.897310522397958
"miscast",-0.882068349354205
"poorly",-0.879350572848348
"2_out_of_10",-0.877204646578638
"very_disappointed",-0.874431991985938
"1_out",-0.863590005191476
"forgettable",-0.839797335222676
"laughable",-0.815900382210968
"not_funny",-0.805252118934797
"mst3k",-0.791103346453879
"mystery_science",-0.773791598797274
"1_10",-0.772666367140254
"on_plus_side",-0.748758643256917
"stinker",-0.748626449563592
"redeeming",-0.747997503636034
"not_recommended",-0.747714730157717
"only_saving",-0.726363017796254
"wasting",-0.710783043773775
"dull",-0.70129989487292
"dreadful",-0.692507290407807
"tedious",-0.684123935558145
"tiresome",-0.682156559590859
"mildly",-0.675862276104419
"fails",-0.674477837080024
"just_isn't",-0.672753313243178
"disappointing",-0.668651687745296
"unfunny",-0.666943460629611
"uninspired",-0.655261481651976
"avoid_this",-0.649057677893249
"unwatchable",-0.645348636493854
"not_good",-0.64164325744704
"yawn",-0.641343951701275
"stock_footage",-0.636808617822604
"uninteresting",-0.622819806815371
"amateurish",-0.622425968109711
"terrible",-0.61822020572971
"boring",-0.614911430394876
"fast_forward",-0.610217418865226
"mediocre",-0.605234315943948
"wasted",-0.592797714241085
"lousy",-0.592401732576529
"this_travesty",-0.591977968393531
"i'm_afraid",-0.59001642375292
"pointless",-0.585066543270587
"that's_about",-0.583211829036893
"one_star",-0.580785441189449
"lame",-0.580610044638405
"save_this",-0.580244863274247
"incoherent",-0.579856136064697
"pathetic",-0.576519649669436
"trite",-0.567306503144365
"wooden",-0.556048024026526
"worse",-0.550939125524935
"pretentious",-0.54816847749687
"lacks",-0.546916542755158
"drivel",-0.54337631789639
"bland",-0.542614095787207
"olds",-0.536277243084265
"horrible",-0.534421447141621
"poor",-0.532136153430407
"only_good",-0.531654704590416
"this_thing",-0.518859491056482
"something_better",-0.518471314025247
"to_recommend",-0.515108731517831
"embarrassed",-0.514848750813744
"no_sense",-0.509357302719636
"ridiculous",-0.508668068377398
"this_turkey",-0.507109734719077
"what_point_of",-0.50524189961099
"shallow",-0.504197127714972
"annoying",-0.497533985470386
"mess",-0.497007345183489
"unlikeable",-0.476717551183153
"inappropriate",-0.474433678635654
"lifeless",-0.47239469750973
"interesting_but",-0.471121480467692
"appalling",-0.469987507392864
"just_didn't",-0.467655338038157
"wouldn't_recommend",-0.464805355638786
"how_not_to",-0.460106330699823
"doesn't_help",-0.459786550935169
"not_very_good",-0.458638581055406
